type,db,y,yp,ypl,file
electrode,mp,1,0.9999676,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiP4WO12_mp-1176594_computed.cif
electrode,mp,1,0.9686526,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiMn7O7F_mp-764671_computed.cif
electrode,mp,1,0.999992,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiFe(PO3)5_mp-687200_computed.cif
electrode,mp,1,0.999998,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiFeP4O13_mp-705398_computed.cif
electrode,mp,1,0.9999565,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li6Fe3P8O29_mp-1177017_computed.cif
electrode,mp,1,0.9999294,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li3Fe4P9O32_mp-705390_computed.cif
electrode,mp,1,0.996914,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li3Fe(PO4)2_mp-773399_computed.cif
electrode,mp,1,0.9687334,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li3Fe(PO4)2_mp-772427_computed.cif
electrode,mp,1,0.99996185,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiFe2P3O13_mp-697808_computed.cif
electrode,mp,1,0.9995326,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiFe3P3O13_mp-1013899_computed.cif
electrode,mp,1,0.9957282,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiFe4(PO4)3_mp-704186_computed.cif
electrode,mp,1,0.79297596,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li4Cr3Co5O16_mp-770878_computed.cif
electrode,mp,1,0.99871016,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/Li2Sn(PO3)4_mp-26271_computed.cif
electrode,mp-avail-in-cod,1,0.9999987,1.0,/home/adavar2/Data/syn/electrode_materials/downloads_2/LiSn(PO3)4_mp-1176668_computed.cif
