,oid,sgn,formula,pretty_formula,yp,ypl
202,1008156,139,Mo2S4,MoS2,0.89294153,1.0
55,9003077,62,Mo4S8,MoS2,0.18822877,-1.0
27,1010474,121,S8Mo4,MoS2,0.062051497,-1.0
14,8103585,14,S8Mo4S8Mo4,MoS2,0.719402,1.0
247,8100916,62,S8Mo4,MoS2,0.26519153,-1.0
8,7209398,61,S8Mo8S8,MoS2,0.2295656,-1.0
222,1532819,136,Mo2S4,MoS2,0.53683245,1.0
101,2103470,137,Mo8S16,MoS2,0.08886393,-1.0
113,1534244,61,Mo8S16,MoS2,0.49303424,-1.0
267,1537359,11,S4Mo4S4,MoS2,0.18702917,-1.0
77,9014528,164,S4Mo2,MoS2,0.35066307,-1.0
141,1539010,139,S4Mo2,MoS2,0.7811185,1.0
210,9015231,63,Mo4S8,MoS2,0.33910546,-1.0
142,1530301,62,Mo4S8,MoS2,0.51030505,1.0
204,9003476,62,Mo4S8,MoS2,0.9253973,1.0
175,9009919,29,Mo4S8,MoS2,0.89424366,1.0
79,9006306,3,Mo4S8,MoS2,0.9410864,1.0
31,9008354,139,S8Mo4,MoS2,0.13318864,-1.0
231,1510233,62,S4Mo4S4,MoS2,0.05918473,-1.0
251,9015355,14,Mo4S8,MoS2,0.38581476,-1.0
40,1522356,74,Mo4S8,MoS2,0.55143505,1.0
200,1535959,9,S4Mo4S4Mo4S8,MoS2,0.05188725,-1.0
285,1522025,12,Mo2S4,MoS2,0.749535,1.0
230,1528584,96,Mo8S16,MoS2,0.94974226,1.0
236,1009012,69,Mo4S8,MoS2,0.042184852,-1.0
156,1000063,224,Mo2S4,MoS2,0.20010282,-1.0
75,1524991,8,Mo4S8,MoS2,0.2019672,-1.0
85,2104024,60,Mo4S8,MoS2,0.46956384,-1.0
103,9011456,7,Mo4S8,MoS2,0.59225786,1.0
1,1521080,82,Mo2S8Mo2,MoS2,0.2274783,-1.0
5,2310534,187,Mo2S4Mo2S4,MoS2,0.099331334,-1.0
145,9015418,118,Mo2S4,MoS2,0.32016343,-1.0
242,2106966,33,S8Mo4,MoS2,0.7361717,1.0
266,1534882,71,S4Mo2,MoS2,0.24498618,-1.0
193,1011006,58,Mo2S4,MoS2,0.07157078,-1.0
39,9015270,154,Mo3S6,MoS2,0.42928156,-1.0
249,4124108,14,S4Mo4S4,MoS2,0.30160466,-1.0
18,1525706,137,Mo2S4,MoS2,0.06960785,-1.0
150,9009242,60,Mo4S8,MoS2,0.287154,-1.0
50,1514102,62,Mo4S8,MoS2,0.7944789,1.0
235,1537276,12,S8Mo4,MoS2,0.44306877,-1.0
122,1531016,60,S8Mo4,MoS2,0.900967,1.0
10,9008125,61,Mo8S16,MoS2,0.9320048,1.0
68,1544891,205,Mo4S8,MoS2,0.38207647,-1.0
270,1537273,36,S8Mo4,MoS2,0.3417975,-1.0
258,2101580,99,Mo2S4,MoS2,0.044698734,-1.0
162,1534893,29,S8Mo4,MoS2,0.085583866,-1.0
2,4031505,14,S4Mo4S4,MoS2,0.47684675,-1.0
261,1540268,58,Mo8S16,MoS2,0.42134178,-1.0
241,9009204,62,Mo4S8,MoS2,0.12891698,-1.0
271,1010560,62,Mo4S8,MoS2,0.031821646,-1.0
71,4344147,15,S8Mo8S8,MoS2,0.27490062,-1.0
49,9009143,166,Mo6S12,MoS2,0.27810118,-1.0
240,7217887,1,Mo4S8,MoS2,0.88030577,1.0
116,1510306,61,S8Mo8S8,MoS2,0.55976707,1.0
37,1534338,166,S6Mo3,MoS2,0.99844676,1.0
172,2107125,72,Mo4S8,MoS2,0.42689595,-1.0
48,1511294,58,S4Mo2,MoS2,0.55109996,1.0
196,4124682,139,S4Mo2,MoS2,0.8607126,1.0
76,1010994,135,Mo8S16,MoS2,0.7791654,1.0
64,1527182,62,S4Mo4S4,MoS2,0.75655365,1.0
52,1010447,58,Mo2S4,MoS2,0.17663994,-1.0
252,9015156,63,Mo4S8,MoS2,0.6790081,1.0
263,1528803,122,S8Mo4,MoS2,0.07698248,-1.0
34,1544731,136,Mo2S4,MoS2,0.62478364,1.0
118,4329108,19,S8Mo4,MoS2,0.6608737,1.0
12,9006301,24,Mo8S16,MoS2,0.5960641,1.0
157,2310476,58,Mo2S4,MoS2,0.4876194,-1.0
255,1537532,71,Mo4S8,MoS2,0.16382612,-1.0
239,1010470,36,Mo4S8,MoS2,0.17350729,-1.0
181,1533491,60,S8Mo4,MoS2,0.45317048,-1.0
97,2106204,156,MoS2Mo2S8Mo2S3MoS2Mo2S,MoS2,0.12709834,-1.0
215,9005378,15,Mo8S16,MoS2,0.11731878,-1.0
17,1539442,61,Mo4S8,MoS2,0.55118877,1.0
279,1100029,141,S8Mo4,MoS2,0.34608138,-1.0
278,1527657,62,S4Mo4S12Mo4,MoS2,0.056309946,-1.0
170,1530151,141,Mo5S10,MoS2,0.9997428,1.0
187,1011348,205,Mo4S8,MoS2,0.33151975,-1.0
253,1537411,186,S4Mo2,MoS2,0.90428793,1.0
45,1544410,61,Mo8S16,MoS2,0.58783937,1.0
62,1514035,12,Mo6S12,MoS2,0.91628265,1.0
78,1514109,62,Mo4S8,MoS2,0.49199194,-1.0
140,1539344,14,S8Mo4,MoS2,0.6653266,1.0
198,2106121,139,Mo4S8,MoS2,0.1442984,-1.0
127,1527293,19,S4Mo4S4,MoS2,0.3571463,-1.0
283,1536732,7,S2Mo2S4Mo2S6Mo2,MoS2,0.10588372,-1.0
144,1536136,14,S4Mo4S4,MoS2,0.24706452,-1.0
214,8103827,156,MoSMoS5MoS2Mo2S3MoS,MoS2,0.10239105,-1.0
293,1510476,38,S8Mo4,MoS2,0.10297549,-1.0
21,4031247,12,Mo4S8,MoS2,0.1719624,-1.0
250,9009765,15,Mo8S16,MoS2,0.15949556,-1.0
243,1535808,186,Mo2S4,MoS2,0.090889186,-1.0
35,1528415,58,S4Mo2,MoS2,0.27927944,-1.0
81,1000058,136,Mo2S4,MoS2,0.60915345,1.0
159,1539277,58,Mo2S4,MoS2,0.21265322,-1.0
109,1010282,139,Mo2S4,MoS2,0.5924518,1.0
272,1542030,166,Mo3S6,MoS2,0.68810993,1.0
92,2106915,186,S6Mo2S2Mo4S4Mo2S4,MoS2,0.139171,-1.0
211,1530015,190,Mo2S4,MoS2,0.8870207,1.0
