,yp_proba,yp_label,y_true
0,0.0037142886,-1.0,-1
1,0.99999976,1.0,1
2,0.0061207185,-1.0,-1
3,0.04039783,-1.0,-1
4,0.9999945,1.0,1
5,0.99999905,1.0,1
6,0.9999949,1.0,1
7,0.99999857,1.0,1
8,0.118643984,-1.0,-1
9,1.0,1.0,1
10,0.0031840224,-1.0,-1
11,0.9999356,1.0,1
12,0.097041726,-1.0,-1
13,0.0014602586,-1.0,-1
14,0.0015004885,-1.0,-1
15,1.0,1.0,1
16,0.9999988,1.0,1
17,0.99999964,1.0,1
18,0.99999917,1.0,1
19,0.9999974,1.0,1
20,0.9577555,1.0,1
21,0.0004879883,-1.0,-1
22,0.0042519374,-1.0,-1
23,0.002647204,-1.0,-1
24,0.09203083,-1.0,-1
25,0.99958175,1.0,1
26,0.99999833,1.0,1
27,0.9999999,1.0,1
28,0.0009806602,-1.0,-1
29,0.005793651,-1.0,-1
30,0.9999988,1.0,1
31,1.0,1.0,1
32,0.7676404,1.0,1
33,0.012960402,-1.0,-1
34,0.9999943,1.0,1
35,0.9999652,1.0,1
36,1.0,1.0,1
37,1.0,1.0,1
38,0.3215758,-1.0,1
39,0.0042519374,-1.0,-1
40,0.020354273,-1.0,-1
41,0.99999964,1.0,1
42,0.0021009333,-1.0,-1
43,0.9999994,1.0,1
44,0.0025549133,-1.0,-1
45,0.99997807,1.0,1
46,0.0043558734,-1.0,-1
47,0.0006378049,-1.0,-1
48,0.9999999,1.0,1
49,0.9993631,1.0,1
50,0.9999989,1.0,1
51,0.006534112,-1.0,-1
52,0.00056364795,-1.0,-1
53,0.018427517,-1.0,-1
54,0.000589463,-1.0,-1
55,0.9999999,1.0,1
56,0.95407814,1.0,1
57,0.9999945,1.0,1
58,0.009630282,-1.0,-1
59,0.006263388,-1.0,-1
60,0.06983285,-1.0,-1
61,0.022486713,-1.0,-1
62,0.08852255,-1.0,-1
63,0.0014152033,-1.0,-1
64,0.0008071521,-1.0,-1
65,0.9999865,1.0,1
66,1.0,1.0,1
67,0.999995,1.0,1
68,1.0,1.0,1
69,0.005005865,-1.0,-1
70,0.99996984,1.0,1
71,0.999995,1.0,1
72,0.99999833,1.0,1
73,0.04266986,-1.0,-1
74,0.0061207185,-1.0,-1
75,0.00046906056,-1.0,-1
76,0.9999999,1.0,1
77,0.00048274943,-1.0,-1
78,0.98615646,1.0,1
79,1.0,1.0,1
80,0.0043558734,-1.0,-1
81,0.9895454,1.0,1
82,0.99997234,1.0,1
83,0.0005331074,-1.0,-1
84,0.004580406,-1.0,-1
85,0.9999995,1.0,1
86,0.999995,1.0,1
87,0.13874713,-1.0,-1
88,0.9999999,1.0,1
89,0.9999975,1.0,1
90,0.034084935,-1.0,-1
91,0.0036901573,-1.0,-1
92,0.8986377,1.0,1
93,0.003151595,-1.0,-1
94,1.0,1.0,1
95,0.9999988,1.0,1
96,0.013224415,-1.0,-1
97,0.99999857,1.0,1
98,0.9999999,1.0,1
99,0.99921143,1.0,1
100,0.9999943,1.0,1
101,0.0005334106,-1.0,-1
102,0.06598687,-1.0,-1
103,0.078869954,-1.0,-1
