,sgn,Hall,Schoenflies,HM,HMu,class,Nau
1,1,P 1,C1^1,P 1,P 1,triclinic,"1
"
2,2,-P 1,Ci^1,P -1,P -1,triclinic,"2
"
3,3,P 2y,C2^1,P 1 2 1,P 1 2 1,monoclinic,"2
"
4,3,P 2,C2^1,P 1 1 2,P 1 1 2,monoclinic,"2
"
5,3,P 2x,C2^1,P 2 1 1,P 2 1 1,monoclinic,"2
"
6,4,P 2yb,C2^2,P 1 21 1,P 1 21 1,monoclinic,"2
"
7,4,P 2c,C2^2,P 1 1 21,P 1 1 21,monoclinic,"2
"
8,4,P 2xa,C2^2,P 21 1 1,P 21 1 1,monoclinic,"2
"
9,5,C 2y,C2^3,C 1 2 1,C 1 2 1,monoclinic,"4
"
10,5,A 2y,C2^3,A 1 2 1,A 1 2 1,monoclinic,"4
"
11,5,I 2y,C2^3,I 1 2 1,I 1 2 1,monoclinic,"4
"
12,5,A 2,C2^3,A 1 1 2,A 1 1 2,monoclinic,"4
"
13,5,B 2,C2^3,B 1 1 2,B 1 1 2,monoclinic,"4
"
14,5,I 2,C2^3,I 1 1 2,I 1 1 2,monoclinic,"4
"
15,5,B 2x,C2^3,B 2 1 1,B 2 1 1,monoclinic,"4
"
16,5,C 2x,C2^3,C 2 1 1,C 2 1 1,monoclinic,"4
"
17,5,I 2x,C2^3,I 2 1 1,I 2 1 1,monoclinic,"4
"
18,6,P -2y,Cs^1,P 1 m 1,P 1 m 1,monoclinic,"2
"
19,6,P -2,Cs^1,P 1 1 m,P 1 1 m,monoclinic,"2
"
20,6,P -2x,Cs^1,P m 1 1,P m 1 1,monoclinic,"2
"
21,7,P -2yc,Cs^2,P 1 c 1,P 1 c 1,monoclinic,"2
"
22,7,P -2yac,Cs^2,P 1 n 1,P 1 n 1,monoclinic,"2
"
23,7,P -2ya,Cs^2,P 1 a 1,P 1 a 1,monoclinic,"2
"
24,7,P -2a,Cs^2,P 1 1 a,P 1 1 a,monoclinic,"2
"
25,7,P -2ab,Cs^2,P 1 1 n,P 1 1 n,monoclinic,"2
"
26,7,P -2b,Cs^2,P 1 1 b,P 1 1 b,monoclinic,"2
"
27,7,P -2xb,Cs^2,P b 1 1,P b 1 1,monoclinic,"2
"
28,7,P -2xbc,Cs^2,P n 1 1,P n 1 1,monoclinic,"2
"
29,7,P -2xc,Cs^2,P c 1 1,P c 1 1,monoclinic,"2
"
30,8,C -2y,Cs^3,C 1 m 1,C 1 m 1,monoclinic,"4
"
31,8,A -2y,Cs^3,A 1 m 1,A 1 m 1,monoclinic,"4
"
32,8,I -2y,Cs^3,I 1 m 1,I 1 m 1,monoclinic,"4
"
33,8,A -2,Cs^3,A 1 1 m,A 1 1 m,monoclinic,"4
"
34,8,B -2,Cs^3,B 1 1 m,B 1 1 m,monoclinic,"4
"
35,8,I -2,Cs^3,I 1 1 m,I 1 1 m,monoclinic,"4
"
36,8,B -2x,Cs^3,B m 1 1,B m 1 1,monoclinic,"4
"
37,8,C -2x,Cs^3,C m 1 1,C m 1 1,monoclinic,"4
"
38,8,I -2x,Cs^3,I m 1 1,I m 1 1,monoclinic,"4
"
39,9,C -2yc,Cs^4,C 1 c 1,C 1 c 1,monoclinic,"4
"
40,9,A -2yab,Cs^4,A 1 n 1,A 1 n 1,monoclinic,"4
"
41,9,I -2ya,Cs^4,I 1 a 1,I 1 a 1,monoclinic,"4
"
42,9,A -2ya,Cs^4,A 1 a 1,A 1 a 1,monoclinic,"4
"
43,9,C -2yac,Cs^4,C 1 n 1,C 1 n 1,monoclinic,"4
"
44,9,I -2yc,Cs^4,I 1 c 1,I 1 c 1,monoclinic,"4
"
45,9,A -2a,Cs^4,A 1 1 a,A 1 1 a,monoclinic,"4
"
46,9,B -2ab,Cs^4,B 1 1 n,B 1 1 n,monoclinic,"4
"
47,9,I -2b,Cs^4,I 1 1 b,I 1 1 b,monoclinic,"4
"
48,9,B -2b,Cs^4,B 1 1 b,B 1 1 b,monoclinic,"4
"
49,9,A -2ab,Cs^4,A 1 1 n,A 1 1 n,monoclinic,"4
"
50,9,I -2a,Cs^4,I 1 1 a,I 1 1 a,monoclinic,"4
"
51,9,B -2xb,Cs^4,B b 1 1,B b 1 1,monoclinic,"4
"
52,9,C -2xac,Cs^4,C n 1 1,C n 1 1,monoclinic,"4
"
53,9,I -2xc,Cs^4,I c 1 1,I c 1 1,monoclinic,"4
"
54,9,C -2xc,Cs^4,C c 1 1,C c 1 1,monoclinic,"4
"
55,9,B -2xab,Cs^4,B n 1 1,B n 1 1,monoclinic,"4
"
56,9,I -2xb,Cs^4,I b 1 1,I b 1 1,monoclinic,"4
"
57,10,-P 2y,C2h^1,P 1 2/m 1,P 1 2/m 1,monoclinic,"4
"
58,10,-P 2,C2h^1,P 1 1 2/m,P 1 1 2/m,monoclinic,"4
"
59,10,-P 2x,C2h^1,P 2/m 1 1,P 2/m 1 1,monoclinic,"4
"
60,11,-P 2yb,C2h^2,P 1 21/m 1,P 1 21/m 1,monoclinic,"4
"
61,11,-P 2c,C2h^2,P 1 1 21/m,P 1 1 21/m,monoclinic,"4
"
62,11,-P 2xa,C2h^2,P 21/m 1 1,P 21/m 1 1,monoclinic,"4
"
63,12,-C 2y,C2h^3,C 1 2/m 1,C 1 2/m 1,monoclinic,"8
"
64,12,-A 2y,C2h^3,A 1 2/m 1,A 1 2/m 1,monoclinic,"8
"
65,12,-I 2y,C2h^3,I 1 2/m 1,I 1 2/m 1,monoclinic,"8
"
66,12,-A 2,C2h^3,A 1 1 2/m,A 1 1 2/m,monoclinic,"8
"
67,12,-B 2,C2h^3,B 1 1 2/m,B 1 1 2/m,monoclinic,"8
"
68,12,-I 2,C2h^3,I 1 1 2/m,I 1 1 2/m,monoclinic,"8
"
69,12,-B 2x,C2h^3,B 2/m 1 1,B 2/m 1 1,monoclinic,"8
"
70,12,-C 2x,C2h^3,C 2/m 1 1,C 2/m 1 1,monoclinic,"8
"
71,12,-I 2x,C2h^3,I 2/m 1 1,I 2/m 1 1,monoclinic,"8
"
72,13,-P 2yc,C2h^4,P 1 2/c 1,P 1 2/c 1,monoclinic,"4
"
